Num Row X Y Angle Valid Style MCMType
1 7 3.68 -5.67 0.44 1 1 0
0 8 -2.10 -0.60 0.18 1 2 0
0 8 -0.33 0.15 0.31 1 3 0
0 7 9.67 -3.53 0.72 1 4 0
1 7 9.23 3.17 0.54 1 4 0
0 6 8.72 -1.47 0.30 1 5 0
0 6 4.04 -2.67 0.46 1 6 0
0 7 6.90 -2.51 0.18 1 7 0
1 7 6.25 -3.45 0.27 1 7 0
0 8 -0.20 -2.61 0.54 1 8 0
0 9 -2.10 -6.21 0.43 1 0 0
0 10 -3.54 -5.21 0.30 1 1 0
1 10 -2.56 -1.02 0.28 1 1 0
0 11 0.86 -1.92 0.14 1 2 0
0 11 -2.63 -0.85 0.24 1 3 0
0 10 0.94 -1.04 0.09 1 4 0
1 10 2.63 1.76 0.22 1 4 0
0 9 2.05 -0.15 0.17 1 5 0
0 9 -3.25 -1.85 0.13 1 6 0
0 10 -0.02 -8.36 0.34 1 7 0
1 10 0.02 -4.50 0.18 1 7 0
0 11 -0.87 -3.14 0.26 1 8 0
0 0 1.63 3.24 0.04 1 0 0
0 1 1.80 2.32 0.23 1 1 0
1 1 2.65 8.14 0.19 1 1 0
0 2 7.22 5.53 0.26 1 2 0
0 2 3.45 12.45 -0.09 1 3 0
0 1 5.88 8.58 -0.18 1 4 0
1 1 6.34 12.43 0.11 1 4 0
0 0 4.35 8.14 0.01 1 5 0
0 0 0.80 4.21 -0.16 1 6 0
0 1 5.96 2.24 -0.11 1 7 0
1 1 5.83 7.65 -0.25 1 7 0
0 2 3.72 5.69 -0.26 1 8 0
0 3 5.05 -3.92 0.01 1 0 0
0 4 2.14 0.47 0.10 1 1 0
1 4 3.80 4.94 0.12 1 1 0
0 5 3.01 4.04 -0.03 1 2 0
0 5 5.01 1.47 0.33 1 3 0
0 4 7.98 3.96 0.19 1 4 0
1 4 9.19 7.95 0.12 1 4 0
0 3 9.56 0.46 0.14 1 5 0
0 3 5.44 -1.06 -0.03 1 6 0
0 4 2.55 2.81 0.19 1 7 0
1 4 4.85 3.94 0.36 1 7 0
0 5 3.67 1.72 0.14 1 8 0
0 6 4.87 -2.47 0.34 1 0 0
0 7 5.37 -5.20 0.19 1 1 0
1 7 1.20 2.42 0.19 1 1 0
0 8 -2.84 -0.28 0.41 1 2 0
0 8 1.53 6.04 0.32 1 3 0
0 7 11.77 0.53 0.48 1 4 0
1 7 9.47 6.30 0.27 1 4 0
0 6 9.49 4.15 0.39 1 5 0
0 6 3.50 -4.10 0.28 1 6 0
0 7 7.14 -9.69 0.15 1 7 0
1 7 6.99 -0.34 0.05 1 7 0
0 8 1.48 -4.36 -0.05 1 8 0
0 9 -1.25 -6.82 0.22 1 0 0
0 10 -2.73 -1.16 0.42 1 1 0
1 10 -0.77 -4.03 0.19 1 1 0
0 11 -1.54 0.96 0.03 1 2 0
0 11 0.23 5.17 -0.15 1 3 0
0 10 3.74 3.10 -0.38 1 4 0
1 10 5.39 2.37 -0.22 1 4 0
0 9 5.25 2.96 -0.29 1 5 0
0 9 -4.49 -4.70 -0.41 1 6 0
0 10 -0.22 -2.48 -0.32 1 7 0
1 10 -0.94 2.06 -0.03 1 7 0
0 11 -1.24 -0.12 -0.51 1 8 0
0 0 0.17 1.84 -0.32 1 0 0
0 1 1.92 1.56 -0.56 1 1 0
1 1 2.88 7.15 -0.47 1 1 0
0 2 6.02 3.88 -0.18 1 2 0
0 2 7.90 14.09 -0.17 1 3 0
0 1 9.25 14.12 0.07 1 4 0
1 1 8.42 13.40 0.33 1 4 0
0 0 7.18 11.31 0.18 1 5 0
0 0 -0.92 0.65 0.17 1 6 0
0 1 3.02 2.42 0.00 1 7 0
1 1 5.43 2.60 0.10 1 7 0
0 2 6.04 6.11 0.39 1 8 0
0 3 4.25 -1.42 0.27 1 0 0
0 4 0.77 -1.93 0.15 1 1 0
1 4 3.23 1.68 0.52 1 1 0
0 5 5.31 -0.29 -0.20 1 2 0
0 5 4.81 9.03 0.06 1 3 0
0 4 8.63 6.95 0.50 1 4 0
1 4 8.30 12.49 0.31 1 4 0
0 3 9.98 6.57 0.22 1 5 0
0 3 4.09 -0.71 0.34 1 6 0
0 4 5.29 -0.36 0.21 1 7 0
1 4 6.70 1.14 0.21 1 7 0
0 5 7.67 1.95 -0.51 1 8 0
0 6 6.33 -3.72 0.32 1 0 0
0 7 5.35 -3.45 0.23 1 1 0
1 7 0.48 1.19 0.03 1 1 0
0 8 0.69 -3.54 0.24 1 2 0
0 8 -0.14 5.96 0.08 1 3 0
0 7 13.92 3.60 0.05 1 4 0
1 7 11.15 8.68 0.06 1 4 0
0 6 8.76 3.70 0.14 1 5 0
0 6 0.50 -3.43 0.20 1 6 0
0 7 7.04 -5.53 -0.27 1 7 0
1 7 4.00 -0.01 0.10 1 7 0
0 8 -0.42 0.38 0.15 1 8 0
0 9 -2.21 -3.28 -0.17 1 0 0
0 10 -2.99 -0.48 0.06 1 1 0
1 10 -1.20 -2.17 0.11 1 1 0
0 11 0.83 -0.10 0.22 1 2 0
0 11 -4.45 9.09 0.11 1 3 0
0 10 1.60 4.02 -0.07 1 4 0
1 10 4.29 4.02 -0.17 1 4 0
0 9 3.77 5.29 -0.13 1 5 0
0 9 -4.51 -1.05 -0.23 1 6 0
0 10 -0.75 -0.18 -0.26 1 7 0
1 10 -1.26 -1.99 -0.01 1 7 0
0 11 0.07 -0.90 -0.26 1 8 0
0 0 -177.27 -924.59 0.00 0 0 0
0 1 2.55 2.73 0.46 1 1 0
1 1 1.92 4.13 0.95 1 1 0
0 2 5.93 6.06 0.14 1 2 0
0 2 6.52 15.61 0.37 1 3 0
0 1 9.22 9.18 0.24 1 4 0
1 1 9.43 12.46 0.49 1 4 0
0 0 8.46 12.28 0.51 1 5 0
0 0 -1.71 1.04 0.32 1 6 0
0 1 3.95 0.85 0.35 1 7 0
1 1 3.16 3.09 0.43 1 7 0
0 2 4.43 2.24 0.47 1 8 0
0 3 -174.45 -924.32 0.00 0 0 0
0 4 0.55 -0.78 0.47 1 1 0
1 4 -1026.39 877.43 0.00 0 1 0
0 9 -2.55 -6.21 0.16 1 0 0
0 10 -1.16 -7.94 0.20 1 1 0
1 10 -0.03 -4.81 0.08 1 1 0
0 11 1.20 -2.06 0.31 1 2 0
0 11 -3.40 4.78 -0.03 1 3 0
0 10 4.32 -1.89 -0.06 1 4 0
1 10 3.68 0.88 0.19 1 4 0
0 9 4.44 0.65 0.22 1 5 0
0 9 -5.67 -8.27 -0.18 1 6 0
0 10 -1.11 -1.16 -0.17 1 7 0
1 10 -1.97 -1.15 0.15 1 7 0
0 11 0.09 -1.47 -0.19 1 8 0
0 0 1.95 5.18 -0.07 1 0 0
0 1 1.86 -0.57 -0.50 1 1 0
1 1 2.54 5.64 -0.49 1 1 0
0 2 3.88 3.90 -0.67 1 2 0
0 2 5.93 16.07 -0.24 1 3 0
0 1 7.57 8.76 -0.53 1 4 0
1 1 10.39 14.50 0.04 1 4 0
0 0 7.34 8.55 -0.49 1 5 0
0 0 0.71 -0.47 0.51 1 6 0
0 1 4.29 -0.87 0.47 1 7 0
1 1 5.92 3.45 0.62 1 7 0
0 2 5.31 3.57 0.39 1 8 0
0 3 7.97 -4.26 0.44 1 0 0
0 4 3.28 -1.01 0.83 1 1 0
1 4 -0.14 2.12 0.83 1 1 0
0 5 5.33 0.12 0.91 1 2 0
0 5 4.40 6.48 0.90 1 3 0
0 4 8.44 5.77 1.15 1 4 0
1 4 12.09 11.43 0.94 1 4 0
0 3 12.05 2.74 1.03 1 5 0
0 3 0.16 -4.54 0.96 1 6 0
0 4 1.67 -2.17 0.86 1 7 0
1 4 3.72 -0.40 1.01 1 7 0
0 5 4.25 2.12 1.05 1 8 0
0 6 3.88 -3.27 1.17 1 0 0
0 7 3.89 -4.45 0.75 1 1 0
1 7 -2.65 -3.28 0.92 1 1 0
0 8 2.00 -1.23 1.26 1 2 0
0 8 7.06 6.20 1.16 1 3 0
0 7 15.75 2.54 1.12 1 4 0
1 7 7.85 10.48 0.14 1 4 0
0 6 12.36 1.94 0.15 1 5 0
0 6 1.07 -6.54 0.47 1 6 0
0 7 6.25 -4.32 0.18 1 7 0
1 7 3.56 -1.60 0.13 1 7 0
0 8 1.38 -1.97 0.47 1 8 0
0 9 -4.66 -3.62 0.49 1 0 0
0 10 -4.76 -6.32 0.36 1 1 0
1 10 -6.03 -0.27 0.35 1 1 0
0 11 -4.01 -1.47 0.33 1 2 0
0 11 2.87 7.43 0.71 1 3 0
0 10 7.55 3.64 0.44 1 4 0
1 10 7.77 5.62 0.22 1 4 0
0 9 8.28 1.24 0.21 1 5 0
0 9 -4.94 -3.56 0.25 1 6 0
0 10 3.36 1.47 0.37 1 7 0
1 10 0.26 -2.67 0.27 1 7 0
0 11 -0.48 -2.98 0.21 1 8 0
0 0 3.45 -1.02 0.31 1 0 0
0 1 1.04 -2.11 0.10 1 1 0
1 1 0.78 2.09 0.13 1 1 0
0 2 6.00 2.21 0.12 1 2 0
0 2 8.52 17.31 0.10 1 3 0
0 1 10.54 13.20 0.37 1 4 0
1 1 9.98 16.49 0.46 1 4 0
0 0 8.71 12.78 0.46 1 5 0
0 0 -4.47 -4.09 0.37 1 6 0
0 1 1.70 -1.10 0.30 1 7 0
1 1 1.76 3.88 0.24 1 7 0
0 2 4.38 3.53 -0.02 1 8 0
0 3 4.38 -1.59 0.39 1 0 0
0 4 2.28 0.81 0.13 1 1 0
1 4 -0.41 2.22 0.45 1 1 0
0 5 2.91 1.14 0.14 1 2 0
0 5 4.84 14.10 0.21 1 3 0
0 4 7.88 10.68 0.38 1 4 0
1 4 8.25 11.19 0.21 1 4 0
0 3 11.45 8.48 0.14 1 5 0
0 3 0.90 -1.15 0.39 1 6 0
0 4 4.64 3.51 -0.17 1 7 0
1 4 6.42 4.67 0.11 1 7 0
0 5 8.07 2.52 -0.04 1 8 0
0 6 7.35 -3.72 0.30 1 0 0
0 7 6.68 -5.42 0.24 1 1 0
1 7 5.99 -1.55 0.19 1 1 0
0 8 4.49 -0.56 0.08 1 2 0
0 8 2.39 7.13 -0.08 1 3 0
0 7 11.60 4.81 0.05 1 4 0
1 7 9.79 9.16 0.06 1 4 0
0 6 9.65 7.88 0.06 1 5 0
0 6 2.33 -4.92 -0.15 1 6 0
0 7 7.48 -5.15 0.12 1 7 0
1 7 8.21 -3.02 0.17 1 7 0
0 8 4.02 -3.95 0.22 1 8 0
0 9 -0.52 -6.29 0.25 1 0 0
0 10 -3.12 -1.19 -0.11 1 1 0
1 10 -0.88 -1.19 -0.00 1 1 0
0 11 0.52 1.94 0.12 1 2 0
0 11 -4.06 0.45 0.04 1 3 0
0 10 1.46 1.86 -0.02 1 4 0
1 10 1.71 2.69 0.25 1 4 0
0 9 3.69 4.31 -0.16 1 5 0
0 9 0.15 0.46 -0.18 1 6 0
0 10 0.85 -2.02 -0.31 1 7 0
1 10 -0.03 0.10 -0.01 1 7 0
0 11 1.51 -1.72 -0.35 1 8 0
0 0 1.54 -0.77 0.12 1 0 0
0 1 4.00 3.04 -0.35 1 1 0
1 1 3.92 6.16 -0.43 1 1 0
0 2 6.41 3.46 -0.28 1 2 0
0 2 3.67 14.30 -0.09 1 3 0
0 1 6.96 11.07 -0.22 1 4 0
1 1 6.12 16.50 -0.29 1 4 0
0 0 5.10 12.67 -0.47 1 5 0
0 0 1.70 0.35 -0.16 1 6 0
0 1 3.93 2.05 -0.26 1 7 0
1 1 5.53 6.30 -0.30 1 7 0
0 2 5.53 4.15 -0.54 1 8 0
0 3 5.26 -2.44 -0.38 1 0 0
0 4 3.63 4.42 -0.24 1 1 0
1 4 3.28 7.50 -0.45 1 1 0
0 5 3.78 7.82 -0.63 1 2 0
0 5 3.79 7.51 -0.45 1 3 0
0 4 6.24 5.74 -0.07 1 4 0
1 4 7.00 5.07 -0.13 1 4 0
0 3 7.53 8.69 -0.16 1 5 0
0 3 5.72 -0.74 0.12 1 6 0
0 4 6.93 3.45 -0.01 1 7 0
1 4 8.79 2.95 0.10 1 7 0
0 5 8.05 4.08 0.13 1 8 0
0 6 9.50 0.45 0.09 1 0 0
0 7 5.64 -1.38 -0.12 1 1 0
1 7 4.88 0.66 -0.25 1 1 0
0 8 1.42 0.74 -0.02 1 2 0
0 8 2.31 6.79 0.07 1 3 0
0 7 12.19 5.84 0.01 1 4 0
1 7 13.20 9.47 0.08 1 4 0
0 6 13.15 6.80 -0.05 1 5 0
0 6 1.76 -4.97 0.05 1 6 0
0 7 6.97 -3.70 -0.08 1 7 0
1 7 3.85 -3.81 0.15 1 7 0
0 8 0.94 -0.67 0.05 1 8 0
0 9 1.61 -4.67 -0.25 1 0 0
0 10 -0.84 -3.71 0.14 1 1 0
1 10 -5.43 0.06 -0.01 1 1 0
0 11 -2.75 -5.76 -0.06 1 2 0
0 11 -0.90 4.40 -0.21 1 3 0
0 10 2.67 5.98 0.00 1 4 0
1 10 1.36 5.20 -0.22 1 4 0
0 9 4.04 3.15 -0.14 1 5 0
0 9 -2.95 -1.57 -0.24 1 6 0
0 10 -0.52 1.29 -0.30 1 7 0
1 10 -1.62 -3.40 -0.33 1 7 0
0 11 -0.45 -3.51 0.02 1 8 0
0 0 -325.67 -798.76 0.00 0 0 0
0 1 1.71 0.10 0.31 1 1 0
1 1 -1175.71 1001.06 0.00 0 1 0
0 3 6.72 -1.30 0.53 1 0 0
0 4 4.43 -4.72 0.32 1 1 0
1 4 3.43 7.42 0.54 1 1 0
0 5 7.84 3.51 0.51 1 2 0
0 5 3.90 10.62 0.23 1 3 0
0 4 9.44 8.17 0.58 1 4 0
1 4 9.20 12.18 0.63 1 4 0
0 3 10.02 8.11 0.53 1 5 0
0 3 2.51 -2.50 0.33 1 6 0
0 4 4.53 -2.26 0.38 1 7 0
1 4 4.12 -0.21 0.29 1 7 0
0 5 4.67 0.47 0.38 1 8 0
0 6 3.54 -6.43 0.54 1 0 0
0 7 6.61 -5.29 0.38 1 1 0
1 7 1.63 -1.25 0.34 1 1 0
0 8 1.65 -2.56 0.24 1 2 0
0 8 5.15 10.95 0.36 1 3 0
0 7 14.49 3.93 0.62 1 4 0
1 7 14.46 7.72 0.49 1 4 0
0 6 10.93 8.42 0.51 1 5 0
0 6 1.08 -3.48 0.12 1 6 0
0 7 8.06 -2.88 0.31 1 7 0
1 7 7.09 -3.53 0.42 1 7 0
0 8 3.15 -2.31 0.39 1 8 0
0 9 -2.02 -7.26 0.56 1 0 0
0 10 -3.17 -4.01 0.73 1 1 0
1 10 -4.20 -3.30 0.87 1 1 0
0 11 -1.31 -8.23 0.43 1 2 0
0 11 -2.39 5.23 0.68 1 3 0
0 10 2.93 4.56 0.57 1 4 0
1 10 2.54 4.27 0.62 1 4 0
0 9 3.74 2.44 0.54 1 5 0
0 9 -2.16 -3.49 0.76 1 6 0
0 10 0.88 -4.29 0.69 1 7 0
1 10 -0.05 -1.38 0.45 1 7 0
0 11 0.64 -6.79 0.33 1 8 0
0 0 6.12 -3.08 0.35 1 0 0
0 1 2.46 -0.63 0.59 1 1 0
1 1 1.18 1.46 0.56 1 1 0
0 2 6.25 4.49 0.54 1 2 0
0 2 5.78 17.56 0.48 1 3 0
0 1 9.75 15.48 0.54 1 4 0
1 1 8.59 14.64 0.54 1 4 0
0 0 6.76 12.18 0.26 1 5 0
0 0 0.35 3.51 0.33 1 6 0
0 1 6.49 2.64 0.55 1 7 0
1 1 6.11 3.61 0.21 1 7 0
0 2 5.65 4.41 0.71 1 8 0
0 3 7.56 -2.38 0.44 1 0 0
0 4 4.62 1.85 0.57 1 1 0
1 4 6.00 3.53 0.64 1 1 0
0 5 9.16 0.01 0.56 1 2 0
0 5 4.23 7.46 0.56 1 3 0
0 4 8.17 4.84 0.34 1 4 0
1 4 9.62 10.47 0.57 1 4 0
0 3 7.33 0.76 0.46 1 5 0
0 3 5.40 -1.14 0.29 1 6 0
0 4 7.95 -0.35 0.64 1 7 0
1 4 9.51 3.59 0.42 1 7 0
0 5 10.08 3.60 0.85 1 8 0
0 6 8.33 -3.96 0.43 1 0 0
0 7 5.24 -6.09 0.62 1 1 0
1 7 5.11 -2.48 0.28 1 1 0
0 8 3.31 -0.23 0.67 1 2 0
0 8 -1.58 3.92 0.23 1 3 0
0 7 10.05 1.99 0.45 1 4 0
1 7 6.80 7.02 0.14 1 4 0
0 6 9.33 4.11 0.21 1 5 0
0 6 7.85 -3.58 0.39 1 6 0
0 7 7.89 -2.20 0.03 1 7 0
1 7 7.59 1.18 0.39 1 7 0
0 8 4.06 0.76 0.48 1 8 0
0 9 1.24 -3.11 0.38 1 0 0
0 10 0.51 -1.53 0.69 1 1 0
1 10 -6.08 1.83 0.40 1 1 0
0 11 -0.92 3.39 0.50 1 2 0
0 11 3.59 4.69 0.88 1 3 0
0 10 1.93 -0.17 0.78 1 4 0
1 10 -0.14 0.08 1.12 1 4 0
0 9 3.13 -1.94 0.89 1 5 0
0 9 -1.00 -2.15 0.66 1 6 0
0 10 -0.28 -4.36 0.69 1 7 0
1 10 1.53 -1.57 0.86 1 7 0
0 11 2.56 1.63 0.89 1 8 0
0 0 4.43 -1.20 0.71 1 0 0
0 1 3.63 -0.71 0.71 1 1 0
1 1 1.80 5.40 0.72 1 1 0
0 2 5.98 2.96 0.88 1 2 0
0 2 6.80 15.17 0.62 1 3 0
0 1 7.72 8.15 1.06 1 4 0
1 1 9.44 13.11 1.07 1 4 0
0 0 9.07 7.76 1.26 1 5 0
0 0 0.84 3.83 1.07 1 6 0
0 1 4.31 4.74 1.03 1 7 0
1 1 6.66 3.78 1.18 1 7 0
0 2 10.17 3.51 0.76 1 8 0
0 3 7.37 -2.27 0.36 1 0 0
0 4 5.71 2.44 0.56 1 1 0
1 4 2.34 5.92 0.40 1 1 0
